Serial,CollegeName,CollegeBranch
1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Shift I)(FW)
2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Self Finance) (Shift I)
3,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence) (Shift I)(FW)
4,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Shift I)
5,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Self Finance) (Shift I)
6,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence) (Shift I)
7,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Computer Science and Engineering (Shift I)(FW)
8,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Computer Science and Engineering (Shift I)
9,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Computer Science and Engineering (Shift I)(FW)
10,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Computer Science and Engineering (Shift I)
11,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Shift I)(FW)
12,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Shift I)
13,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (Shift I)(FW)
14,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (Shift I)
15,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence & Machine Learning) (Shift I)(FW)
16,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence & Machine Learning) (Shift I)
17,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science) (Shift I)(FW)
18,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science) (Shift I)
19,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering (Shift I)(FW)
20,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering (Shift I)
21,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering (Shift I)(FW)
22,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering (Shift I)
23,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology (Shift I)(FW)
24,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology (Shift I)
25,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Information Technology (Shift I)(FW)
26,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Information Technology (Shift I)
27,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence & Machine Learning) (Shift I)(FW)
28,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence & Machine Learning) (Shift I)
29,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science) (Shift I)(FW)
30,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science) (Shift I)
31,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology (Shift I)(FW)
32,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology (Shift I)
33,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Information Technology (Shift I)(FW)
34,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Information Technology (Shift I)
35,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering (Shift I)(FW)
36,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering (Shift I)
37,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electronics Engineering (Shift I)(FW)
38,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electronics Engineering (Shift I)
39,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electronics and Communication Engineering (Shift I)(FW)
40,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electronics and Communication Engineering (Shift I)
41,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering (Shift I)(FW)
42,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering (Shift I)
43,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering (Shift I)(FW)
44,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering (Shift I)
45,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electrical Engineering (Shift I)(FW)
46,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electrical Engineering (Shift I)
47,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electrical Engineering (Shift I)(FW)
48,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electrical Engineering (Shift I)
49,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical Engineering (Shift I)(FW)
50,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical Engineering (Shift I)
51,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering (Shift I)(FW)
52,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering (Shift I)
53,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Mechanical Engineering (Shift I)(FW)
54,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Mechanical Engineering (Shift I)
55,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering (Shift I)(FW)
56,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Mechanical Engineering (Shift I)
57,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering (Shift I)(FW)
58,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering (Shift I)
59,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Civil Engineering (Shift I)(FW)
60,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Civil Engineering (Shift I)
61,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Civil Engineering (Shift I)(FW)
62,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Civil Engineering (Shift I)
63,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering (Shift I)(FW)
64,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering (Shift I)
65,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Chemical Engineering (Shift I)
66,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Electronics and Communication Engineering (Shift I)(FW)
67,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Electronics and Communication Engineering (Shift I)
68,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering (Shift I)(FW)
69,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Electrical & Electronics Engineering (Shift I)
70,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering (Shift I)(FW)
71,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering (Shift I)
72,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering (Shift I)(FW)
73,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering (Shift I)
74,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Electrical & Electronics Engineering (Shift I)(FW)
75,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Electrical & Electronics Engineering (Shift I)
76,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Electronics Engineering (Shift I)(FW)
77,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Electronics Engineering (Shift I)
78,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical & Electronics Engineering (Shift I)(FW)
79,"ABES ENGG.COLLEGE,GHAZIABAD",Electrical & Electronics Engineering (Shift I)
80,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Mechanical Engineering (Shift I)
 